resourceId,windowType,start,end,reason
eq-01,available,2026-06-01T06:00:00,2026-06-01T21:00:00,
eq-01,available,2026-06-02T06:00:00,2026-06-02T21:00:00,
eq-01,available,2026-06-03T06:00:00,2026-06-03T21:00:00,
eq-01,available,2026-06-04T06:00:00,2026-06-04T21:00:00,
eq-01,available,2026-06-05T06:00:00,2026-06-05T21:00:00,
eq-01,available,2026-06-06T06:00:00,2026-06-06T21:00:00,
eq-01,available,2026-06-07T06:00:00,2026-06-07T21:00:00,
eq-01,available,2026-06-08T06:00:00,2026-06-08T21:00:00,
eq-01,available,2026-06-09T06:00:00,2026-06-09T21:00:00,
eq-01,available,2026-06-10T06:00:00,2026-06-10T21:00:00,
eq-01,available,2026-06-11T06:00:00,2026-06-11T21:00:00,
eq-01,available,2026-06-12T06:00:00,2026-06-12T21:00:00,
eq-01,available,2026-06-13T06:00:00,2026-06-13T21:00:00,
eq-01,available,2026-06-14T06:00:00,2026-06-14T21:00:00,
eq-01,available,2026-06-15T06:00:00,2026-06-15T21:00:00,
eq-01,available,2026-06-16T06:00:00,2026-06-16T21:00:00,
eq-01,available,2026-06-17T06:00:00,2026-06-17T21:00:00,
eq-01,available,2026-06-18T06:00:00,2026-06-18T21:00:00,
eq-01,available,2026-06-19T06:00:00,2026-06-19T21:00:00,
eq-01,available,2026-06-20T06:00:00,2026-06-20T21:00:00,
eq-01,available,2026-06-21T06:00:00,2026-06-21T21:00:00,
eq-01,available,2026-06-22T06:00:00,2026-06-22T21:00:00,
eq-01,available,2026-06-23T06:00:00,2026-06-23T21:00:00,
eq-01,available,2026-06-24T06:00:00,2026-06-24T21:00:00,
eq-01,available,2026-06-25T06:00:00,2026-06-25T21:00:00,
eq-01,available,2026-06-26T06:00:00,2026-06-26T21:00:00,
eq-01,available,2026-06-27T06:00:00,2026-06-27T21:00:00,
eq-01,available,2026-06-28T06:00:00,2026-06-28T21:00:00,
eq-01,available,2026-06-29T06:00:00,2026-06-29T21:00:00,
eq-01,available,2026-06-30T06:00:00,2026-06-30T21:00:00,
eq-01,available,2026-07-01T06:00:00,2026-07-01T21:00:00,
eq-01,available,2026-07-02T06:00:00,2026-07-02T21:00:00,
eq-01,available,2026-07-03T06:00:00,2026-07-03T21:00:00,
eq-01,available,2026-07-04T06:00:00,2026-07-04T21:00:00,
eq-01,available,2026-07-05T06:00:00,2026-07-05T21:00:00,
eq-01,available,2026-07-06T06:00:00,2026-07-06T21:00:00,
eq-01,available,2026-07-07T06:00:00,2026-07-07T21:00:00,
eq-01,available,2026-07-08T06:00:00,2026-07-08T21:00:00,
eq-01,available,2026-07-09T06:00:00,2026-07-09T21:00:00,
eq-01,available,2026-07-10T06:00:00,2026-07-10T21:00:00,
eq-01,available,2026-07-11T06:00:00,2026-07-11T21:00:00,
eq-01,available,2026-07-12T06:00:00,2026-07-12T21:00:00,
eq-01,available,2026-07-13T06:00:00,2026-07-13T21:00:00,
eq-01,available,2026-07-14T06:00:00,2026-07-14T21:00:00,
eq-01,available,2026-07-15T06:00:00,2026-07-15T21:00:00,
eq-01,available,2026-07-16T06:00:00,2026-07-16T21:00:00,
eq-01,available,2026-07-17T06:00:00,2026-07-17T21:00:00,
eq-01,available,2026-07-18T06:00:00,2026-07-18T21:00:00,
eq-01,available,2026-07-19T06:00:00,2026-07-19T21:00:00,
eq-01,available,2026-07-20T06:00:00,2026-07-20T21:00:00,
eq-01,available,2026-07-21T06:00:00,2026-07-21T21:00:00,
eq-01,available,2026-07-22T06:00:00,2026-07-22T21:00:00,
eq-01,available,2026-07-23T06:00:00,2026-07-23T21:00:00,
eq-01,available,2026-07-24T06:00:00,2026-07-24T21:00:00,
eq-01,available,2026-07-25T06:00:00,2026-07-25T21:00:00,
eq-01,available,2026-07-26T06:00:00,2026-07-26T21:00:00,
eq-01,available,2026-07-27T06:00:00,2026-07-27T21:00:00,
eq-01,available,2026-07-28T06:00:00,2026-07-28T21:00:00,
eq-01,available,2026-07-29T06:00:00,2026-07-29T21:00:00,
eq-01,available,2026-07-30T06:00:00,2026-07-30T21:00:00,
eq-01,available,2026-07-31T06:00:00,2026-07-31T21:00:00,
eq-01,available,2026-08-01T06:00:00,2026-08-01T21:00:00,
eq-01,available,2026-08-02T06:00:00,2026-08-02T21:00:00,
eq-01,available,2026-08-03T06:00:00,2026-08-03T21:00:00,
eq-01,available,2026-08-04T06:00:00,2026-08-04T21:00:00,
eq-01,available,2026-08-05T06:00:00,2026-08-05T21:00:00,
eq-01,available,2026-08-06T06:00:00,2026-08-06T21:00:00,
eq-01,available,2026-08-07T06:00:00,2026-08-07T21:00:00,
eq-01,available,2026-08-08T06:00:00,2026-08-08T21:00:00,
eq-01,available,2026-08-09T06:00:00,2026-08-09T21:00:00,
eq-01,available,2026-08-10T06:00:00,2026-08-10T21:00:00,
eq-01,available,2026-08-11T06:00:00,2026-08-11T21:00:00,
eq-01,available,2026-08-12T06:00:00,2026-08-12T21:00:00,
eq-01,available,2026-08-13T06:00:00,2026-08-13T21:00:00,
eq-01,available,2026-08-14T06:00:00,2026-08-14T21:00:00,
eq-01,available,2026-08-15T06:00:00,2026-08-15T21:00:00,
eq-01,available,2026-08-16T06:00:00,2026-08-16T21:00:00,
eq-01,available,2026-08-17T06:00:00,2026-08-17T21:00:00,
eq-01,available,2026-08-18T06:00:00,2026-08-18T21:00:00,
eq-01,available,2026-08-19T06:00:00,2026-08-19T21:00:00,
eq-01,available,2026-08-20T06:00:00,2026-08-20T21:00:00,
eq-01,available,2026-08-21T06:00:00,2026-08-21T21:00:00,
eq-01,available,2026-08-22T06:00:00,2026-08-22T21:00:00,
eq-01,available,2026-08-23T06:00:00,2026-08-23T21:00:00,
eq-01,available,2026-08-24T06:00:00,2026-08-24T21:00:00,
eq-01,available,2026-08-25T06:00:00,2026-08-25T21:00:00,
eq-01,available,2026-08-26T06:00:00,2026-08-26T21:00:00,
eq-01,available,2026-08-27T06:00:00,2026-08-27T21:00:00,
eq-01,available,2026-08-28T06:00:00,2026-08-28T21:00:00,
eq-01,available,2026-08-29T06:00:00,2026-08-29T21:00:00,
eq-01,available,2026-08-30T06:00:00,2026-08-30T21:00:00,
eq-01,available,2026-08-31T06:00:00,2026-08-31T21:00:00,
eq-01,downtime,2026-06-23T00:00:00,2026-06-25T23:59:00,Treadmill belt maintenance
eq-02,available,2026-06-01T06:00:00,2026-06-01T21:00:00,
eq-02,available,2026-06-02T06:00:00,2026-06-02T21:00:00,
eq-02,available,2026-06-03T06:00:00,2026-06-03T21:00:00,
eq-02,available,2026-06-04T06:00:00,2026-06-04T21:00:00,
