id,priority,priorityRationale,activityType,frequencyCount,frequencyPeriod,details,facilitatorType,facilitatorRole,facilitatorResourceId,location,remoteCapable,prep,backups,skipAdjustment,metrics
act-001,1,"Higher cardiorespiratory fitness (VO2max) is one of the strongest modifiable predictors of all-cause mortality, so building an aerobic base is foundational.",fitness,3,week,"Zone-2 treadmill base run, 45 min holding HR 60-70% max (~120-135 bpm), conversational pace, 1% incline.",self,,,Elyx gym,false,Wear HR chest strap; light carb snack 60 min prior; hydrate.,act-005|act-007,Add a 30-min brisk outdoor walk same day to preserve weekly Zone-2 volume.,avg_hr|max_hr|duration_min|distance_km|zone2_min
act-002,2,"VO2max intervals drive the single largest gains in peak aerobic capacity, which correlates with extended healthspan and reduced cardiovascular events.",fitness,1,week,"4x4 norwegian intervals on treadmill: 4 min at 90-95% max HR, 3 min active recovery, repeated 4x; 10 min warm-up/cool-down.",alliedHealth,personal trainer,,Elyx gym,false,Trainer briefed on target paces; HR strap fitted; full warm-up completed.,act-009|act-014,Replace with a single longer Zone-2 session next available slot.,avg_hr|max_hr|vo2max|duration_min|distance_km
act-003,2,Quarterly clinician-supervised assessment validates cardiac safety of high-intensity prescriptions and catches early exertional abnormalities.,fitness,1,month,Supervised graded VO2max test to volitional exhaustion with continuous HR and exertion review; output sets next training zones.,specialist,sports medicine physician,,Elyx clinic,false,No strenuous exercise 24h prior; avoid caffeine 3h prior; bring HR strap.,field VO2max estimate via act-002,Use last validated zones and reschedule within 2 weeks.,vo2max|max_hr|avg_hr|duration_min
act-021,2,Progressive lower-body resistance training is the most effective intervention against age-related sarcopenia and all-cause mortality.,fitness,2,week,"Barbell back squat: 4 sets x 5 reps at ~80% 1RM (target ~70-90 kg), full depth to thighs parallel, 2-3 min rest between sets.",alliedHealth,personal trainer,,Elyx gym,false,5-10 min dynamic warm-up; load and collar the bar before working sets.,act-024|Goblet squat at home,Shift to next available trainer slot; do not skip more than one session per week.,sets|reps|load_kg
act-022,2,"Hip-hinge deadlifting builds posterior-chain and bone density, lowering fracture and frailty risk in later decades.",fitness,1,week,"Conventional deadlift: 4 sets x 4 reps at ~75-85% 1RM, neutral spine, controlled eccentric ~3 sec; reset each rep.",alliedHealth,personal trainer,,Elyx gym,false,Warm-up sets ramping from empty bar; chalk hands if needed.,act-003|Kettlebell deadlift at home,Replace with kettlebell hip hinges (act-023) to preserve hinge pattern.,sets|reps|load_kg
act-041,2,"Adequate daily protein preserves lean muscle mass and counters age-related sarcopenia, a key driver of healthspan.",food,3,day,"Protein meals: eat 3 protein-anchored meals totaling 1.6 g/kg body weight daily; ~40 g per plate from chicken, eggs, tofu, or Greek yogurt.",self,,,home,false,meal pre-cooked,act-049,Add a 30 g whey shake to recover the daily protein target.,protein_g|calories|meal_logged
act-043,2,Omega-3 EPA/DHA from oily fish lowers triglycerides and supports cardiovascular and cognitive aging.,food,3,week,"Oily fish: eat a 150 g serving of salmon, mackerel, or sardines providing ~2 g combined EPA/DHA per serving.",self,,,home,false,groceries delivered,act-058,Take an algae or fish-oil supplement to maintain weekly omega-3 intake.,protein_g|meal_logged
act-060,2,A protein-forward breakfast blunts morning glucose spikes and improves satiety for weight management.,food,1,day,"Protein breakfast: start the day with 30-40 g protein (3-egg omelette with greens, or Greek yogurt with nuts and berries).",self,,,home,false,meal pre-cooked,act-041,Have a protein shake to maintain the morning protein target.,protein_g|calories|meal_logged
act-065,2,Elevated ApoB/LDL-C with a family history of CVD makes statin-driven lipid lowering a top-tier intervention for reducing atherosclerotic risk.,medication,1,day,"Rosuvastatin 10 mg, one tablet by mouth each evening; can be taken with or without food, consistent time nightly.",self,,,home,false,,,take when remembered same day; never double-dose,adherence_logged|dose_mg|ldl_c_mgdl
act-066,2,Insulin resistance with rising HbA1c warrants metformin as first-line therapy to improve glycemic control and offer favorable longevity signals.,medication,1,day,"Metformin XR 500 mg, one tablet with the evening meal to minimize GI upset; swallow whole, do not crush.",self,,,home,false,Take with food to reduce gastrointestinal side effects.,,take with next meal same day; never double-dose,adherence_logged|dose_mg|hba1c_pct
act-067,2,Stage-1 hypertension on home readings requires consistent ACE-inhibitor therapy to protect cardiovascular and renal function.,medication,1,day,"Lisinopril 10 mg, one tablet by mouth each morning; take at the same time daily, with or without food.",self,,,home,false,,,take when remembered same day; never double-dose,adherence_logged|dose_mg|bp_mmhg
act-101,2,"A quarterly physician-led synthesis of all biomarker and lifestyle data is the keystone of longevity care, catching adverse trends early when intervention is most effective.",consultation,4,year,"Comprehensive longevity review: integrate latest labs, body composition, cardiorespiratory fitness, sleep and adherence data; reconcile medications and supplements; set next quarter's targets.",specialist,longevity physician,sp-01,Elyx clinic,true,Complete all quarterly labs and scans at least 3 days prior so results are available for review.,video call review,"If skipped, hold prior targets and book a 30-minute interim video review within 2 weeks to cover any flagged out-of-range markers.",apoB|hba1c|fasting_glucose|hs_crp
